,Amount,Days_in_Quarter__c,ExpectedRevenue,FiscalQuarter,HasOpportunityLineItem,InvoiceTotalIncludingVATFreight__c,IsClosed,LineItemCount__c,NEW_Total_ACV__c,OwnerId,Probability,Spigit_Rep_Assesment__c,StageName
1829,77561.75423842318,31,32169.890166191497,1,False,0.0,True,0,0.0,32,0,0,0
2037,77561.75423842318,75,32169.890166191497,2,False,0.0,True,0,0.0,32,0,0,0
3332,48712.0,63,48712.0,2,True,48712.0,True,1,48712.0,39,100,0,0
268,95000.0,50,95000.0,3,True,95000.0,True,1,0.0,32,100,0,0
3304,76000.0,92,0.0,3,True,76000.0,True,2,76000.0,45,0,0,1
991,75000.0,92,0.0,4,True,75000.0,True,1,0.0,33,0,0,0
1688,59825.0,88,0.0,1,True,59825.0,True,2,24825.0,35,0,0,1
1198,77561.75423842318,86,32169.890166191497,4,False,0.0,True,0,0.0,32,0,0,0
1412,100000.0,81,0.0,4,True,100000.0,True,1,0.0,32,0,0,0
1146,77561.75423842318,85,32169.890166191497,2,False,0.0,True,0,0.0,46,0,0,0
3789,77561.75423842318,92,32169.890166191497,3,False,0.0,True,0,0.0,69,0,0,1
635,77561.75423842318,91,32169.890166191497,2,False,0.0,True,0,0.0,39,0,0,0
4111,37125.0,29,0.0,3,True,37125.0,True,1,29781.59,17,0,0,0
2796,50000.0,3,50000.0,3,True,50000.0,True,2,25000.0,41,100,0,0
3469,1561.87,45,1561.87,2,True,1561.87,True,3,1561.87,44,100,0,0
3228,50000.0,91,0.0,3,True,50000.0,True,2,50000.0,18,0,0,0
1545,122000.0,90,0.0,2,True,122000.0,True,1,0.0,32,0,0,0
1762,80000.0,88,80000.0,4,True,80000.0,True,1,0.0,43,100,0,0
302,77561.75423842318,72,32169.890166191497,3,False,0.0,True,0,0.0,32,100,0,0
248,50000.0,59,0.0,2,True,50000.0,True,1,0.0,39,0,0,0
3518,65812.0,60,65812.0,2,True,65812.0,True,1,65812.0,32,100,0,0
1287,55000.0,31,0.0,4,True,55000.0,True,2,10000.0,55,0,0,0
3318,50000.0,88,50000.0,2,True,50000.0,True,2,50000.0,45,100,0,0
1145,77561.75423842318,85,32169.890166191497,2,False,0.0,True,0,0.0,46,0,0,0
3676,30000.0,39,30000.0,3,True,30000.0,True,1,30000.0,33,100,0,0
694,75000.0,61,0.0,3,True,75000.0,True,1,0.0,32,0,0,0
686,60000.0,30,60000.0,3,True,60000.0,True,1,0.0,32,100,1,0
334,25000.0,30,25000.0,3,True,25000.0,True,1,0.0,46,100,1,0
2565,50000.0,78,0.0,1,True,50000.0,True,2,25000.0,67,0,0,0
3695,50000.0,90,0.0,1,True,50000.0,True,1,50000.0,44,0,0,1
1372,50000.0,89,0.0,1,True,50000.0,True,1,0.0,35,0,0,1
354,77561.75423842318,90,32169.890166191497,4,False,0.0,True,0,0.0,32,100,0,0
1558,50000.0,75,0.0,1,True,50000.0,True,1,0.0,35,0,0,0
297,77561.75423842318,10,32169.890166191497,1,False,0.0,True,0,0.0,32,100,0,0
1141,77561.75423842318,85,32169.890166191497,2,False,0.0,True,0,0.0,46,0,0,0
3380,30000.0,92,0.0,3,True,30000.0,True,1,0.0,68,0,0,0
1620,130912.0,41,130912.0,1,True,130912.0,True,1,0.0,40,100,0,0
397,15000.0,90,15000.0,1,True,15000.0,True,1,0.0,32,100,0,0
3283,98000.0,60,98000.0,2,True,98000.0,True,2,63000.0,54,100,0,0
3047,25333.0,24,0.0,4,True,25333.0,True,1,0.0,46,0,0,0
2137,13500.0,68,13500.0,3,True,13500.0,True,1,0.0,32,100,0,0
979,90000.0,91,90000.0,4,True,90000.0,True,1,90000.0,32,100,0,0
1083,77561.75423842318,76,32169.890166191497,2,False,0.0,True,0,0.0,32,0,0,0
262,15000.0,91,15000.0,2,True,15000.0,True,1,0.0,39,100,0,0
923,355000.0,90,0.0,3,True,355000.0,True,2,45000.0,32,0,0,0
191,45000.0,43,0.0,2,True,45000.0,True,1,0.0,54,0,0,0
2288,32500.0,39,32500.0,4,True,32500.0,True,2,22500.0,46,100,0,0
978,117000.0,91,117000.0,2,True,117000.0,True,1,117000.0,43,100,0,0
427,10000.0,43,0.0,4,True,10000.0,True,1,10000.0,32,0,0,0
949,30000.0,81,30000.0,1,True,30000.0,True,1,0.0,35,100,0,0
1016,144000.0,88,144000.0,2,True,144000.0,True,1,0.0,32,100,0,0
1334,25000.0,82,25000.0,2,True,25000.0,True,1,0.0,41,100,0,0
887,226400.0,92,0.0,4,True,226400.0,True,1,0.0,44,0,0,0
3977,15000.0,57,0.0,4,True,15000.0,True,1,15000.0,44,0,0,1
542,48000.0,45,0.0,1,True,48000.0,True,1,0.0,32,0,0,0
1600,92000.0,81,0.0,1,True,92000.0,True,2,30000.0,32,0,0,0
3657,54000.0,86,54000.0,3,True,54000.0,True,1,54000.0,72,100,0,0
3196,299000.0,53,0.0,2,True,299000.0,True,2,299000.0,40,0,0,0
872,33250.0,61,33250.0,4,True,33250.0,True,1,0.0,39,100,1,0
604,120000.0,57,120000.0,2,True,120000.0,True,1,0.0,39,100,0,0
1068,25000.0,90,0.0,3,True,25000.0,True,1,0.0,40,0,0,0
2117,25000.0,76,0.0,4,True,25000.0,True,1,25000.0,35,0,0,1
2787,45000.0,49,0.0,1,True,45000.0,True,2,15000.0,6,0,0,0
3400,53000.0,91,53000.0,4,True,53000.0,True,1,53000.0,75,100,0,0
891,25000.0,74,0.0,2,True,25000.0,True,1,0.0,32,0,0,0
1833,4400.0,75,4400.0,1,True,4400.0,True,1,4400.0,39,100,0,0
3420,119000.0,90,0.0,1,True,119000.0,True,2,119000.0,35,0,0,1
1473,77561.75423842318,89,32169.890166191497,1,False,0.0,True,0,0.0,32,0,0,0
399,25000.0,90,0.0,1,True,25000.0,True,1,0.0,32,0,0,0
1574,20000.0,51,0.0,1,True,20000.0,True,1,0.0,40,0,0,0
497,77561.75423842318,88,32169.890166191497,2,False,0.0,True,0,0.0,44,0,0,0
2441,77561.75423842318,92,32169.890166191497,4,False,0.0,True,0,0.0,58,0,0,1
2717,100000.0,92,0.0,4,True,100000.0,True,2,100000.0,23,0,0,0
1858,50000.0,31,0.0,3,True,50000.0,True,2,25000.0,66,0,0,1
848,20000.0,64,20000.0,4,True,20000.0,True,1,0.0,32,100,1,0
2764,35000.0,85,0.0,3,True,35000.0,True,2,15000.0,52,0,0,0
1088,7500.0,15,0.0,2,True,7500.0,True,1,0.0,32,0,0,0
800,500000.0,82,500000.0,4,True,500000.0,True,1,0.0,32,100,1,0
1235,77561.75423842318,71,32169.890166191497,4,False,0.0,True,0,0.0,32,0,0,0
783,180000.0,92,180000.0,3,True,180000.0,True,1,180000.0,32,100,1,0
3225,127500.0,91,127500.0,2,True,127500.0,True,3,127500.0,54,100,0,0
1916,81000.0,1,0.0,2,True,81000.0,True,1,0.0,32,0,0,0
3456,314.1,39,314.1,2,True,314.1,True,1,314.1,22,100,0,0
1522,77561.75423842318,10,32169.890166191497,4,False,0.0,True,0,0.0,32,0,0,0
2709,50000.0,6,0.0,1,True,50000.0,True,1,0.0,32,0,0,0
236,65000.0,90,0.0,1,True,65000.0,True,1,0.0,39,0,0,0
1743,15000.0,89,15000.0,2,True,15000.0,True,1,0.0,32,100,0,0
357,52000.0,65,52000.0,4,True,52000.0,True,1,0.0,32,100,0,0
1399,77561.75423842318,65,32169.890166191497,1,False,0.0,True,0,0.0,32,0,0,0
828,15000.0,40,15000.0,4,True,15000.0,True,1,0.0,32,100,1,0
3353,35000.0,58,0.0,3,True,35000.0,True,1,35000.0,63,0,0,0
3316,24000.0,30,0.0,1,True,24000.0,True,1,24000.0,40,0,0,1
1753,165000.0,82,0.0,3,True,165000.0,True,2,15000.0,32,0,0,0
1258,60000.0,91,0.0,1,True,60000.0,True,1,0.0,32,0,0,0
2200,45000.0,52,45000.0,1,True,45000.0,True,2,3000.0,32,100,0,0
2934,77561.75423842318,91,32169.890166191497,2,False,0.0,True,0,0.0,32,0,0,0
1481,77561.75423842318,45,32169.890166191497,3,False,0.0,True,0,0.0,32,100,0,0
3914,50000.0,58,0.0,1,True,50000.0,True,1,50000.0,76,0,0,1
1425,77561.75423842318,31,32169.890166191497,4,False,0.0,True,0,0.0,43,0,0,0
841,50000.0,78,0.0,2,True,50000.0,True,1,0.0,32,0,0,0
442,77561.75423842318,61,32169.890166191497,1,False,0.0,True,0,0.0,46,100,0,0
246,40500.0,35,40500.0,2,True,40500.0,True,1,0.0,32,100,0,0
1523,77561.75423842318,74,32169.890166191497,1,False,0.0,True,0,0.0,32,0,0,0
3204,85000.0,81,85000.0,3,True,85000.0,True,1,85000.0,40,100,0,0
1508,44973.0,81,44973.0,4,True,44973.0,True,1,44973.0,32,100,0,0
1544,25000.0,87,0.0,1,True,25000.0,True,1,0.0,32,0,0,0
1943,50000.0,30,0.0,2,True,50000.0,True,2,25000.0,40,0,0,0
2863,25000.0,90,0.0,1,True,25000.0,True,1,25000.0,54,0,0,1
1939,174000.0,31,0.0,4,True,174000.0,True,2,75000.0,32,0,0,0
1842,15000.0,57,15000.0,1,True,15000.0,True,1,0.0,32,100,0,0
2588,1.0,76,0.0,4,True,1.0,True,1,1.0,33,0,0,1
3507,130000.0,91,0.0,2,True,130000.0,True,2,130000.0,64,0,0,1
3167,77561.75423842318,78,32169.890166191497,3,False,0.0,True,0,0.0,42,0,0,0
1265,75000.0,92,0.0,3,True,75000.0,True,1,0.0,32,0,0,0
1040,15000.0,89,15000.0,1,True,15000.0,True,1,0.0,32,100,0,0
1072,25000.0,91,0.0,4,True,25000.0,True,1,0.0,32,0,0,0
3462,94200.0,74,0.0,3,True,94200.0,True,3,94200.0,44,0,0,0
3530,77561.75423842318,51,32169.890166191497,3,False,0.0,True,0,0.0,6,0,0,0
3331,167000.0,91,167000.0,2,True,167000.0,True,1,167000.0,39,100,0,0
960,40000.0,31,0.0,4,True,40000.0,True,1,0.0,32,0,0,0
3233,77561.75423842318,92,32169.890166191497,3,False,0.0,True,0,0.0,41,0,0,1
343,25000.0,48,0.0,3,True,25000.0,True,1,0.0,32,0,0,0
1274,30000.0,30,0.0,1,True,30000.0,True,1,0.0,32,0,0,0
3622,50000.0,33,0.0,1,True,50000.0,True,1,50000.0,67,0,0,1
2904,77561.75423842318,73,32169.890166191497,1,False,0.0,True,0,0.0,41,0,0,0
520,50000.0,7,50000.0,2,True,50000.0,True,1,0.0,32,100,1,0
132,0.0,75,0.0,3,True,0.0,True,1,0.0,15,100,0,0
3810,171250.0,86,0.0,1,True,171250.0,True,2,171250.0,41,0,0,1
881,77561.75423842318,92,32169.890166191497,4,False,0.0,True,0,0.0,32,0,0,0
3386,83928.0,28,83928.0,3,True,83928.0,True,3,71866.42,44,100,0,0
580,72000.0,62,72000.0,2,True,72000.0,True,1,0.0,39,100,0,0
606,77561.75423842318,91,32169.890166191497,2,False,0.0,True,0,0.0,46,0,0,0
1486,77561.75423842318,91,32169.890166191497,1,False,0.0,True,0,0.0,32,0,0,0
3083,60000.0,50,0.0,2,True,60000.0,True,2,20000.0,52,0,0,0
1321,100000.0,90,0.0,1,True,100000.0,True,1,0.0,35,0,0,1
2186,372500.0,39,372500.0,4,True,372500.0,True,1,372500.0,39,100,0,0
1039,233000.0,15,0.0,3,True,233000.0,True,1,0.0,32,0,0,0
1175,77561.75423842318,11,32169.890166191497,2,False,0.0,True,0,0.0,32,0,0,0
1660,49000.0,61,0.0,4,True,49000.0,True,1,0.0,32,0,0,0
3120,45000.0,88,45000.0,4,True,45000.0,True,1,0.0,46,100,0,0
3394,69000.0,92,69000.0,4,True,69000.0,True,2,69000.0,67,100,0,0
2131,1.0,61,0.0,2,True,1.0,True,1,1.0,78,0,0,1
747,20000.0,90,20000.0,3,True,20000.0,True,1,0.0,39,100,0,0
2509,105300.0,7,105300.0,4,True,105300.0,True,1,0.0,39,100,0,0
1129,10000.0,15,10000.0,3,True,10000.0,True,1,0.0,32,100,0,0
2497,185750.0,88,185750.0,1,True,185750.0,True,1,0.0,39,100,0,0
920,2000000.0,57,2000000.0,2,True,2000000.0,True,1,0.0,32,100,0,0
2506,77561.75423842318,77,32169.890166191497,4,False,0.0,True,0,0.0,43,0,0,1
2389,5000.0,81,5000.0,1,True,5000.0,True,1,5000.0,37,100,0,0
1933,111500.0,75,111500.0,3,True,111500.0,True,2,14000.0,35,100,0,0
259,45000.0,70,45000.0,4,True,45000.0,True,1,0.0,39,100,0,0
411,119000.0,29,0.0,3,True,119000.0,True,1,0.0,32,0,0,0
3639,75000.0,50,0.0,3,True,75000.0,True,2,75000.0,72,0,0,1
691,77561.75423842318,90,32169.890166191497,2,False,0.0,True,0,0.0,32,0,0,0
1051,234000.0,89,0.0,4,True,234000.0,True,1,0.0,32,0,0,0
2276,116800.0,25,0.0,2,True,116800.0,True,2,25000.0,44,0,0,0
1099,126880.0,91,126880.0,2,True,126880.0,True,1,0.0,32,100,0,0
1913,115000.0,61,0.0,3,True,115000.0,True,2,15000.0,17,0,0,0
1043,100000.0,89,0.0,1,True,100000.0,True,1,0.0,35,0,0,1
3643,25000.0,30,0.0,1,True,25000.0,True,1,25000.0,37,0,0,1
1598,45000.0,25,45000.0,1,True,45000.0,True,1,45000.0,40,100,0,0
2607,25000.0,30,0.0,4,True,25000.0,True,1,0.0,37,0,0,1
852,77561.75423842318,76,32169.890166191497,4,False,0.0,True,0,0.0,35,0,0,0
2903,34000.0,45,0.0,4,True,34000.0,True,1,34000.0,39,0,0,0
1551,12500.0,81,12500.0,1,True,12500.0,True,1,0.0,46,100,0,0
3570,77561.75423842318,30,32169.890166191497,1,False,0.0,True,0,0.0,65,0,0,1
1159,5250.0,90,5250.0,4,True,5250.0,True,1,5250.0,32,100,0,0
725,180000.0,41,180000.0,2,True,180000.0,True,1,0.0,32,100,0,0
1457,120000.0,91,0.0,2,True,120000.0,True,2,40000.0,35,0,0,0
1128,107000.0,11,0.0,1,True,107000.0,True,1,0.0,40,0,0,0
3024,77561.75423842318,9,32169.890166191497,3,False,0.0,True,0,0.0,40,0,0,0
2093,198500.0,85,198500.0,2,True,198500.0,True,2,47500.0,55,100,0,0
1192,187270.0,92,187270.0,3,True,187270.0,True,1,0.0,43,100,0,0
1211,291500.0,91,291500.0,2,True,291500.0,True,1,0.0,35,100,0,0
781,105300.0,12,0.0,3,True,105300.0,True,1,0.0,32,0,0,0
2644,77561.75423842318,76,32169.890166191497,4,False,0.0,True,0,0.0,35,0,0,1
1444,37250.0,91,37250.0,2,True,37250.0,True,2,37250.0,54,100,0,0
1256,22500.0,91,0.0,2,True,22500.0,True,1,0.0,46,0,0,0
2253,75000.0,91,0.0,2,True,75000.0,True,1,0.0,35,0,0,1
795,10000.0,71,10000.0,4,True,10000.0,True,1,0.0,32,100,1,0
1008,60000.0,29,0.0,4,True,60000.0,True,1,0.0,32,0,0,0
1973,36000.0,88,0.0,1,True,36000.0,True,1,36000.0,43,0,0,0
468,15000.0,15,15000.0,3,True,15000.0,True,1,0.0,32,100,1,0
2233,93600.0,86,93600.0,1,True,93600.0,True,1,93600.0,40,100,0,0
2374,77561.75423842318,80,32169.890166191497,4,False,0.0,True,0,0.0,66,0,0,1
3598,50000.0,82,0.0,1,True,50000.0,True,1,42740.05,54,0,0,1
1668,25000.0,23,0.0,1,True,25000.0,True,1,0.0,43,0,0,0
3587,25000.0,92,0.0,4,True,25000.0,True,1,25000.0,42,0,0,0
1254,39000.0,91,0.0,1,True,39000.0,True,1,0.0,32,0,0,0
646,21000.0,45,0.0,1,True,21000.0,True,1,0.0,32,0,0,0
1341,77561.75423842318,9,32169.890166191497,4,False,0.0,True,0,0.0,32,0,0,0
895,39000.0,83,0.0,4,True,39000.0,True,1,0.0,39,0,0,0
2587,35000.0,31,0.0,3,True,35000.0,True,2,10000.0,65,0,0,1
3243,61200.0,90,0.0,1,True,61200.0,True,4,61200.0,37,0,0,0
1036,25000.0,92,0.0,3,True,25000.0,True,1,25000.0,32,0,0,0
2254,5000.0,59,5000.0,4,True,5000.0,True,1,5000.0,53,100,0,0
2379,77561.75423842318,81,32169.890166191497,4,False,0.0,True,0,0.0,43,0,0,1
2017,25000.0,85,25000.0,1,True,25000.0,True,1,0.0,44,100,1,0
967,180000.0,69,180000.0,1,True,180000.0,True,1,0.0,32,100,0,0
2178,205000.0,82,0.0,1,True,205000.0,True,2,5000.0,55,0,0,1
1182,100000.0,75,0.0,2,True,100000.0,True,1,0.0,35,0,0,0
2174,76000.0,45,0.0,3,True,76000.0,True,1,76000.0,37,0,0,0
3280,27000.0,91,0.0,2,True,27000.0,True,1,0.0,78,0,0,0
2679,50000.0,90,0.0,1,True,50000.0,True,1,50000.0,45,0,0,1
234,484000.0,61,484000.0,1,True,484000.0,True,1,0.0,32,100,0,0
3213,25000.0,30,0.0,4,True,25000.0,True,1,25000.0,54,0,0,1
2991,77561.75423842318,92,32169.890166191497,4,False,0.0,True,0,0.0,58,0,0,1
1215,77561.75423842318,91,32169.890166191497,4,False,0.0,True,0,0.0,64,0,0,1
3516,25000.0,76,0.0,4,True,25000.0,True,1,25000.0,42,0,0,0
860,25000.0,46,0.0,3,True,25000.0,True,1,0.0,40,0,0,0
1906,77561.75423842318,31,32169.890166191497,4,False,0.0,True,0,0.0,32,0,0,0
3411,50000.0,92,0.0,4,True,50000.0,True,1,48927.61,64,0,0,1
366,25000.0,92,0.0,3,True,25000.0,True,1,0.0,32,0,0,1
2229,35000.0,61,0.0,3,True,35000.0,True,1,0.0,39,0,0,0
1794,75000.0,86,75000.0,3,True,75000.0,True,2,50000.0,40,100,0,0
3274,25000.0,92,0.0,3,True,25000.0,True,1,0.0,6,0,0,0
1407,77561.75423842318,76,32169.890166191497,4,False,0.0,True,0,0.0,35,0,0,1
3095,25000.0,36,0.0,1,True,25000.0,True,1,0.0,37,0,0,1
1618,10000.0,21,0.0,3,True,10000.0,True,1,0.0,6,0,0,0
3845,123500.0,77,123500.0,4,True,123500.0,True,2,123500.0,44,100,0,0
2584,0.0,31,0.0,4,True,0.0,True,1,0.0,55,0,0,1
2488,25000.0,90,0.0,1,True,25000.0,True,2,15000.0,35,0,0,1
1042,20000.0,92,0.0,3,True,20000.0,True,1,0.0,51,0,0,0
332,7500.0,92,7500.0,3,True,7500.0,True,1,0.0,39,100,0,0
2977,0.0,45,0.0,4,False,0.0,True,0,0.0,41,0,0,0
615,77561.75423842318,91,32169.890166191497,2,False,0.0,True,0,0.0,39,0,0,0
566,77561.75423842318,65,32169.890166191497,3,False,0.0,True,0,0.0,32,0,0,0
372,16000.0,68,16000.0,4,True,16000.0,True,1,0.0,32,100,0,0
737,77561.75423842318,92,32169.890166191497,3,False,0.0,True,0,0.0,32,0,0,0
2242,146250.0,73,146250.0,1,True,146250.0,True,1,146250.0,37,100,0,0
3287,2500000.0,59,0.0,1,True,2500000.0,True,1,2500000.0,17,0,0,1
2821,26000.0,91,0.0,2,True,26000.0,True,2,1000.0,6,0,0,0
2680,35000.0,92,35000.0,3,True,35000.0,True,2,10000.0,43,100,0,0
3162,50000.0,92,0.0,4,True,50000.0,True,2,25000.0,45,0,0,1
2631,40000.0,72,0.0,3,True,40000.0,True,2,10000.0,52,0,0,0
2073,15000.0,87,15000.0,2,True,15000.0,True,1,0.0,39,100,0,0
2016,30000.0,72,30000.0,2,True,30000.0,True,1,30000.0,39,100,0,0
1213,107000.0,90,0.0,3,True,107000.0,True,1,0.0,40,0,0,0
1866,25000.0,80,0.0,4,True,25000.0,True,1,0.0,66,0,0,1
2779,35000.0,91,0.0,2,True,35000.0,True,2,15000.0,52,0,0,0
554,144000.0,55,0.0,2,True,144000.0,True,1,0.0,32,0,0,0
3722,18720.0,65,18720.0,3,True,18720.0,True,2,18720.0,41,100,0,0
3463,1247.44,44,1247.44,2,True,1247.44,True,1,1247.44,41,100,0,0
2156,50000.0,84,0.0,1,True,50000.0,True,1,0.0,35,0,0,0
1073,128000.0,92,0.0,4,True,128000.0,True,1,0.0,32,0,0,0
3929,5000.0,34,5000.0,4,True,5000.0,True,1,5000.0,40,100,0,0
2481,369000.0,92,369000.0,4,True,369000.0,True,2,249000.0,45,100,1,0
3351,380000.0,58,380000.0,2,True,380000.0,True,5,380000.0,41,100,0,0
941,5000.0,26,5000.0,1,True,5000.0,True,1,0.0,32,100,0,0
587,77561.75423842318,91,32169.890166191497,2,False,0.0,True,0,0.0,46,0,0,0
1526,50000.0,91,0.0,2,True,50000.0,True,1,0.0,35,0,0,0
1063,300000.0,90,300000.0,1,True,300000.0,True,1,0.0,32,100,1,0
431,66000.0,64,66000.0,1,True,66000.0,True,1,0.0,32,100,0,0
804,100000.0,90,0.0,1,True,100000.0,True,1,0.0,32,0,0,0
2370,20000.0,36,20000.0,1,True,20000.0,True,1,20000.0,44,100,0,0
271,125000.0,7,0.0,2,True,125000.0,True,1,0.0,32,0,0,0
2258,29733.0,37,29733.0,4,True,29733.0,True,2,4400.0,32,100,0,0
146,62400.0,46,0.0,4,True,62400.0,True,1,62400.0,11,0,0,0
3744,120000.0,92,120000.0,4,True,120000.0,True,1,120000.0,37,100,0,0
3527,403.2,92,0.0,4,True,403.2,True,2,403.2,60,0,0,0
2245,66000.0,54,66000.0,2,True,66000.0,True,2,16000.0,40,100,0,0
3122,25000.0,76,0.0,3,True,25000.0,True,1,0.0,54,0,0,1
1610,66000.0,81,66000.0,4,True,66000.0,True,1,0.0,32,100,0,0
1999,340000.0,78,0.0,3,True,340000.0,True,2,10000.0,35,0,0,0
1812,62000.0,43,0.0,4,True,62000.0,True,1,0.0,40,0,0,0
2272,50000.0,1,0.0,2,True,50000.0,True,2,25000.0,40,0,0,0
1789,49000.0,32,0.0,3,True,49000.0,True,1,0.0,43,0,0,0
1869,70000.0,30,0.0,3,True,70000.0,True,1,0.0,32,0,0,0
1676,77561.75423842318,87,32169.890166191497,1,False,0.0,True,0,0.0,44,0,0,0
518,105000.0,21,0.0,4,True,105000.0,True,1,0.0,46,0,0,0
1352,50000.0,91,0.0,2,True,50000.0,True,1,0.0,35,0,0,0
2342,77561.75423842318,61,32169.890166191497,4,False,0.0,True,0,0.0,39,0,0,0
1815,25000.0,91,0.0,2,True,25000.0,True,1,0.0,35,0,0,0
3322,77561.75423842318,80,32169.890166191497,4,False,0.0,True,0,0.0,41,0,0,0
379,1200.0,83,1200.0,4,True,1200.0,True,1,0.0,32,100,0,0
1655,77561.75423842318,27,32169.890166191497,4,False,0.0,True,0,0.0,42,0,0,0
485,226080.0,78,226080.0,4,True,226080.0,True,1,0.0,32,100,1,0
3461,50000.0,60,0.0,3,True,50000.0,True,2,50000.0,42,0,0,0
3671,50000.0,45,0.0,3,True,50000.0,True,1,50000.0,44,0,0,1
1397,90000.0,91,90000.0,3,True,90000.0,True,1,90000.0,32,100,0,0
360,77561.75423842318,92,32169.890166191497,4,False,0.0,True,0,0.0,32,100,0,0
738,150000.0,50,0.0,2,True,150000.0,True,1,0.0,32,0,0,0
1525,25000.0,76,0.0,4,True,25000.0,True,1,0.0,35,0,0,1
1995,0.0,90,0.0,1,True,0.0,True,2,0.0,55,0,0,1
1067,85000.0,85,0.0,2,True,85000.0,True,1,0.0,32,0,0,0
910,25000.0,45,0.0,3,True,25000.0,True,1,25000.0,41,0,0,0
2099,77561.75423842318,92,32169.890166191497,3,False,0.0,True,0,0.0,61,0,0,1
195,25000.0,92,0.0,4,True,25000.0,True,1,0.0,32,0,0,0
1124,77561.75423842318,91,32169.890166191497,2,False,0.0,True,0,0.0,35,0,0,0
2177,77561.75423842318,15,32169.890166191497,4,False,0.0,True,0,0.0,42,0,0,0
2724,50000.0,91,0.0,2,True,50000.0,True,2,25000.0,75,0,0,1
2682,77561.75423842318,90,32169.890166191497,1,False,0.0,True,0,0.0,32,0,0,1
2459,95000.0,67,95000.0,3,True,95000.0,True,1,0.0,37,100,0,0
4142,28500.0,59,0.0,2,True,28500.0,True,1,28500.0,64,0,0,0
1669,80667.0,90,0.0,4,True,80667.0,True,1,0.0,35,0,0,0
1766,182000.0,69,0.0,3,True,182000.0,True,1,0.0,44,0,0,0
1500,497500.0,91,497500.0,4,True,497500.0,True,1,497500.0,43,100,0,0
1629,30000.0,77,0.0,4,True,30000.0,True,1,0.0,35,0,0,1
1576,20000.0,75,20000.0,4,True,20000.0,True,1,0.0,39,100,0,0
3149,199500.0,73,0.0,1,True,199500.0,True,1,0.0,39,0,0,0
764,7500.0,92,7500.0,3,True,7500.0,True,1,0.0,32,100,0,0
913,20000.0,77,0.0,4,True,20000.0,True,1,0.0,32,0,0,0
650,242000.0,91,242000.0,2,True,242000.0,True,1,0.0,46,100,1,0
3340,110000.0,84,110000.0,2,True,110000.0,True,1,110000.0,37,100,0,0
1899,17000.0,68,17000.0,2,True,17000.0,True,1,0.0,39,100,0,0
1217,77561.75423842318,10,32169.890166191497,3,False,0.0,True,0,0.0,40,0,0,1
1149,77561.75423842318,85,32169.890166191497,2,False,0.0,True,0,0.0,46,0,0,0
3517,50000.0,58,0.0,1,True,50000.0,True,1,50000.0,40,0,0,1
